STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100726,349, , ,s,9999,269, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100727,349, , ,s,9999,271, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100728,356, , ,s,9999,267, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100729,358, , ,s,9999,278, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100730,347, , ,s,9999,270, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100731,337, , ,s,9999,292, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100801,318, , ,s,9999,241, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100802,332, , ,s,9999,244, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100803,324, , ,s,9999,235, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100804,295, , ,s,9999,232, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100805,326, , ,s,9999,240, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100806,311, , ,s,9999,217, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100807,304, , ,s,9999,222, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100808,307, , ,s,9999,211, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100809,308, , ,s,9999,250, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100810,330, , ,s,9999,255, , ,s,9999
